temperature_2m,cloud_cover,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,wind_speed_10m,precipitation
4.9,100,0.0,0.0,0.0,0.0,3.7,0.0
5.4,75,0.0,0.0,0.0,0.0,2.6,0.0
5.5,80,0.0,0.0,0.0,0.0,1.0,0.0
5.7,100,0.0,0.0,0.0,0.0,2.6,0.0
6.2,100,0.0,0.0,0.0,0.0,0.8,0.0
6.3,100,0.0,0.0,0.0,0.0,3.1,0.0
6.4,92,0.0,0.0,0.0,0.0,3.8,0.0
6.1,30,0.0,0.0,0.0,0.0,3.9,0.0
5.3,20,0.0,0.0,0.0,0.0,3.1,0.0
4.7,13,14.0,5.0,77.6,9.0,3.6,0.0
6.1,14,119.0,68.0,402.0,51.0,1.8,0.0
8.0,32,236.0,160.0,539.1,76.0,2.3,0.0
9.2,56,299.0,199.0,514.5,100.0,2.3,0.0
9.9,50,275.0,166.0,383.3,109.0,1.9,0.0
10.7,47,293.0,175.0,404.7,118.0,1.1,0.0
11.4,81,255.0,145.0,376.7,110.0,4.1,0.0
11.3,47,174.0,102.0,347.1,72.0,3.7,0.0
11.1,46,85.0,42.0,254.0,43.0,3.7,0.0
10.2,38,10.0,3.0,48.1,7.0,1.8,0.0
8.8,30,0.0,0.0,0.0,0.0,4.3,0.0
6.9,25,0.0,0.0,0.0,0.0,4.1,0.0
5.5,21,0.0,0.0,0.0,0.0,3.9,0.0
4.8,16,0.0,0.0,0.0,0.0,3.9,0.0
4.3,22,0.0,0.0,0.0,0.0,4.4,0.0
4.0,25,0.0,0.0,0.0,0.0,4.9,0.0
3.9,27,0.0,0.0,0.0,0.0,5.2,0.0
3.9,21,0.0,0.0,0.0,0.0,5.0,0.0
3.7,6,0.0,0.0,0.0,0.0,3.7,0.0
3.7,12,0.0,0.0,0.0,0.0,4.6,0.0
3.7,6,0.0,0.0,0.0,0.0,4.6,0.0
3.7,24,0.0,0.0,0.0,0.0,2.7,0.0
3.4,2,0.0,0.0,0.0,0.0,2.7,0.0
3.2,2,0.0,0.0,0.0,0.0,2.4,0.0
3.2,15,15.0,6.0,93.1,9.0,4.1,0.0
5.9,47,128.0,79.0,466.9,49.0,2.3,0.0
9.7,15,260.0,185.0,622.6,75.0,2.5,0.0
12.6,87,368.0,284.0,732.8,84.0,1.5,0.0
13.9,91,372.0,210.0,483.7,162.0,1.3,0.0
14.8,63,346.0,161.0,371.0,185.0,0.5,0.0
15.2,87,328.0,199.0,514.5,129.0,1.8,0.0
15.0,88,236.0,133.0,449.4,103.0,0.7,0.0
14.4,88,107.0,38.0,226.7,69.0,3.6,0.0
10.7,92,13.0,2.0,31.5,11.0,6.9,0.0
7.3,30,0.0,0.0,0.0,0.0,7.9,0.0
8.0,56,0.0,0.0,0.0,0.0,5.3,0.0
