sira,temperature_2m,cloud_cover,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,wind_speed_10m,precipitation,time
0,-2.4,13,0.0,0.0,0.0,0.0,6.6,0.0,2019-01-01 00:00:00
1,-2.4,10,0.0,0.0,0.0,0.0,5.5,0.0,2019-01-01 01:00:00
2,-3.2,5,0.0,0.0,0.0,0.0,5.1,0.0,2019-01-01 02:00:00
3,-3.3,7,0.0,0.0,0.0,0.0,5.8,0.0,2019-01-01 03:00:00
4,-3.5,12,0.0,0.0,0.0,0.0,5.6,0.0,2019-01-01 04:00:00
5,-3.4,68,0.0,0.0,0.0,0.0,5.6,0.0,2019-01-01 05:00:00
6,-2.5,98,0.0,0.0,0.0,0.0,4.4,0.0,2019-01-01 06:00:00
7,-3.5,98,0.0,0.0,0.0,0.0,4.7,0.0,2019-01-01 07:00:00
8,-2.8,100,0.0,0.0,0.0,0.0,3.7,0.0,2019-01-01 08:00:00
9,-2.9,100,14.0,2.0,31.0,12.0,1.9,0.0,2019-01-01 09:00:00
10,-0.7,100,96.0,19.0,112.2,77.0,3.1,0.0,2019-01-01 10:00:00
11,1.5,100,185.0,42.0,141.5,143.0,3.3,0.0,2019-01-01 11:00:00
12,3.2,100,245.0,46.0,119.0,199.0,4.7,0.0,2019-01-01 12:00:00
13,4.9,100,311.0,100.0,231.1,211.0,4.0,0.0,2019-01-01 13:00:00
14,5.8,100,291.0,92.0,213.0,199.0,4.9,0.0,2019-01-01 14:00:00
15,6.4,100,211.0,31.0,80.7,180.0,3.7,0.0,2019-01-01 15:00:00
16,6.0,100,141.0,12.0,41.0,129.0,4.8,0.0,2019-01-01 16:00:00
17,4.3,100,52.0,1.0,6.1,51.0,4.5,0.0,2019-01-01 17:00:00
18,3.8,100,7.0,0.0,0.0,7.0,5.4,0.0,2019-01-01 18:00:00
19,4.2,100,0.0,0.0,0.0,0.0,3.8,0.0,2019-01-01 19:00:00
20,3.6,99,0.0,0.0,0.0,0.0,2.6,0.0,2019-01-01 20:00:00
21,3.2,100,0.0,0.0,0.0,0.0,2.6,0.0,2019-01-01 21:00:00
22,2.6,100,0.0,0.0,0.0,0.0,2.8,0.0,2019-01-01 22:00:00
23,2.2,100,0.0,0.0,0.0,0.0,3.4,0.0,2019-01-01 23:00:00
24,1.9,99,0.0,0.0,0.0,0.0,3.9,0.0,2019-01-02 00:00:00
25,2.0,99,0.0,0.0,0.0,0.0,1.5,0.4,2019-01-02 01:00:00
26,1.5,100,0.0,0.0,0.0,0.0,2.4,0.1,2019-01-02 02:00:00
27,2.2,99,0.0,0.0,0.0,0.0,4.0,0.1,2019-01-02 03:00:00
28,2.5,90,0.0,0.0,0.0,0.0,4.6,0.0,2019-01-02 04:00:00
29,1.7,84,0.0,0.0,0.0,0.0,2.9,0.0,2019-01-02 05:00:00
30,2.1,75,0.0,0.0,0.0,0.0,1.8,0.0,2019-01-02 06:00:00
31,0.8,53,0.0,0.0,0.0,0.0,3.5,0.0,2019-01-02 07:00:00
32,0.6,56,0.0,0.0,0.0,0.0,3.5,0.0,2019-01-02 08:00:00
33,1.0,87,11.0,3.0,46.5,8.0,2.3,0.0,2019-01-02 09:00:00
34,2.7,92,78.0,19.0,112.2,59.0,3.3,0.0,2019-01-02 10:00:00
35,4.2,76,165.0,53.0,178.3,112.0,4.1,0.0,2019-01-02 11:00:00
36,5.4,69,228.0,110.0,284.0,118.0,4.3,0.0,2019-01-02 12:00:00
37,6.3,61,268.0,124.0,285.8,144.0,4.7,0.0,2019-01-02 13:00:00
38,7.1,47,333.0,197.0,454.6,136.0,4.6,0.0,2019-01-02 14:00:00
39,7.3,98,300.0,187.0,484.4,113.0,5.2,0.0,2019-01-02 15:00:00
40,7.0,99,115.0,30.0,101.7,85.0,3.6,0.0,2019-01-02 16:00:00
41,6.2,97,52.0,3.0,18.0,49.0,3.4,0.1,2019-01-02 17:00:00
42,5.7,100,5.0,0.0,0.0,5.0,4.7,0.0,2019-01-02 18:00:00
43,4.2,100,0.0,0.0,0.0,0.0,5.5,0.1,2019-01-02 19:00:00
44,4.3,100,0.0,0.0,0.0,0.0,3.9,0.3,2019-01-02 20:00:00
45,4.3,100,0.0,0.0,0.0,0.0,2.5,0.3,2019-01-02 21:00:00
46,4.1,100,0.0,0.0,0.0,0.0,2.9,0.3,2019-01-02 22:00:00
47,3.9,100,0.0,0.0,0.0,0.0,2.4,0.6,2019-01-02 23:00:00
48,3.3,100,0.0,0.0,0.0,0.0,3.3,0.8,2019-01-03 00:00:00
49,2.5,100,0.0,0.0,0.0,0.0,3.3,0.8,2019-01-03 01:00:00
50,2.1,100,0.0,0.0,0.0,0.0,3.1,0.5,2019-01-03 02:00:00
51,1.9,100,0.0,0.0,0.0,0.0,5.0,0.3,2019-01-03 03:00:00
52,1.5,100,0.0,0.0,0.0,0.0,2.6,1.4,2019-01-03 04:00:00
53,1.5,100,0.0,0.0,0.0,0.0,0.0,0.8,2019-01-03 05:00:00
54,1.7,100,0.0,0.0,0.0,0.0,2.4,0.3,2019-01-03 06:00:00
55,2.1,100,0.0,0.0,0.0,0.0,1.1,0.2,2019-01-03 07:00:00
56,2.4,100,0.0,0.0,0.0,0.0,3.3,0.2,2019-01-03 08:00:00
57,2.8,100,2.0,0.0,0.0,2.0,3.8,0.3,2019-01-03 09:00:00
58,3.1,100,17.0,0.0,0.0,17.0,4.1,0.4,2019-01-03 10:00:00
59,3.7,100,44.0,1.0,3.4,43.0,2.3,0.4,2019-01-03 11:00:00
60,3.8,100,34.0,0.0,0.0,34.0,1.1,0.4,2019-01-03 12:00:00
