time,power_watt,irradiance,temperature,power_kw
2019-01-01 00:00:00,0.0,0.0,-6.96,0.0
2019-01-01 01:00:00,0.0,0.0,-7.93,0.0
2019-01-01 02:00:00,0.0,0.0,-7.75,0.0
2019-01-01 03:00:00,0.0,0.0,-7.71,0.0
2019-01-01 04:00:00,0.0,0.0,-7.47,0.0
2019-01-01 05:00:00,0.0,0.0,-7.15,0.0
2019-01-01 06:00:00,6055.0,41.0,-6.58,6.055
2019-01-01 07:00:00,7130.0,46.0,-2.44,7.13
2019-01-01 08:00:00,58610.0,284.01,0.6,58.61
2019-01-01 09:00:00,79100.0,380.01,2.66,79.1
2019-01-01 10:00:00,59047.5,286.0,3.52,59.0475
2019-01-01 11:00:00,17687.5,97.0,3.82,17.6875
2019-01-01 12:00:00,34897.5,177.0,4.08,34.8975
2019-01-01 13:00:00,14502.5,83.0,3.39,14.5025
2019-01-01 14:00:00,0.0,3.0,3.44,0.0
2019-01-01 15:00:00,0.0,0.0,2.78,0.0
2019-01-01 16:00:00,0.0,0.0,2.18,0.0
2019-01-01 17:00:00,0.0,0.0,1.77,0.0
2019-01-01 18:00:00,0.0,0.0,0.35,0.0
2019-01-01 19:00:00,0.0,0.0,-0.63,0.0
2019-01-01 20:00:00,0.0,0.0,-0.84,0.0
2019-01-01 21:00:00,0.0,0.0,-0.3,0.0
2019-01-01 22:00:00,0.0,0.0,-0.06,0.0
2019-01-01 23:00:00,0.0,0.0,-0.21,0.0
2019-01-02 00:00:00,0.0,0.0,0.15,0.0
2019-01-02 01:00:00,0.0,0.0,-0.04,0.0
2019-01-02 02:00:00,0.0,0.0,0.22,0.0
2019-01-02 03:00:00,0.0,0.0,-0.05,0.0
2019-01-02 04:00:00,0.0,0.0,-0.33,0.0
2019-01-02 05:00:00,0.0,0.0,-0.32,0.0
2019-01-02 06:00:00,4957.5,36.0,-0.38,4.9575
2019-01-02 07:00:00,19285.0,104.0,1.62,19.285
2019-01-02 08:00:00,24072.5,126.0,3.59,24.0725
2019-01-02 09:00:00,40057.5,199.0,4.18,40.0575
2019-01-02 10:00:00,28375.0,146.0,4.6,28.375
2019-01-02 11:00:00,44490.0,220.0,4.84,44.49
2019-01-02 12:00:00,30450.0,156.0,4.22,30.45
2019-01-02 13:00:00,8312.5,53.0,4.11,8.3125
2019-01-02 14:00:00,42.5,6.0,3.68,0.0425
2019-01-02 15:00:00,0.0,0.0,3.26,0.0
2019-01-02 16:00:00,0.0,0.0,2.97,0.0
2019-01-02 17:00:00,0.0,0.0,2.91,0.0
2019-01-02 18:00:00,0.0,0.0,2.74,0.0
2019-01-02 19:00:00,0.0,0.0,2.36,0.0
2019-01-02 20:00:00,0.0,0.0,2.01,0.0
2019-01-02 21:00:00,0.0,0.0,1.93,0.0
2019-01-02 22:00:00,0.0,0.0,1.95,0.0
2019-01-02 23:00:00,0.0,0.0,1.74,0.0
2019-01-03 00:00:00,0.0,0.0,1.61,0.0
2019-01-03 01:00:00,0.0,0.0,1.9,0.0
2019-01-03 02:00:00,0.0,0.0,1.83,0.0
2019-01-03 03:00:00,0.0,0.0,1.92,0.0
2019-01-03 04:00:00,0.0,0.0,2.32,0.0
2019-01-03 05:00:00,0.0,0.0,2.26,0.0
2019-01-03 06:00:00,7332.5,50.0,2.3,7.3325
2019-01-03 07:00:00,13497.5,77.0,1.97,13.4975
2019-01-03 08:00:00,23882.5,124.0,1.74,23.8825
2019-01-03 09:00:00,12225.0,71.0,1.72,12.225
2019-01-03 10:00:00,19985.0,107.0,2.83,19.985
2019-01-03 11:00:00,33755.0,170.0,3.9,33.755
2019-01-03 12:00:00,21812.5,116.0,4.22,21.8125
2019-01-03 13:00:00,9970.0,61.0,4.12,9.97
2019-01-03 14:00:00,257.5,8.0,2.45,0.2575
2019-01-03 15:00:00,0.0,0.0,2.07,0.0
2019-01-03 16:00:00,0.0,0.0,2.11,0.0
2019-01-03 17:00:00,0.0,0.0,1.89,0.0
2019-01-03 18:00:00,0.0,0.0,1.93,0.0
2019-01-03 19:00:00,0.0,0.0,1.79,0.0
2019-01-03 20:00:00,0.0,0.0,2.0,0.0
