,temperature_2m,cloud_cover,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,wind_speed_10m,precipitation,time
0,-5.8,100,0.0,0.0,0.0,0.0,2.0,0.0,2026-01-01 00:00:00
1,-7.5,100,0.0,0.0,0.0,0.0,0.6,0.0,2026-01-01 01:00:00
2,-7.5,100,0.0,0.0,0.0,0.0,3.3,0.0,2026-01-01 02:00:00
3,-9.7,100,0.0,0.0,0.0,0.0,3.6,0.0,2026-01-01 03:00:00
4,-9.9,99,0.0,0.0,0.0,0.0,5.4,0.0,2026-01-01 04:00:00
5,-9.9,99,0.0,0.0,0.0,0.0,6.4,0.0,2026-01-01 05:00:00
6,-9.7,100,0.0,0.0,0.0,0.0,6.7,0.0,2026-01-01 06:00:00
7,-8.7,100,0.0,0.0,0.0,0.0,7.0,0.0,2026-01-01 07:00:00
8,-8.2,100,0.0,0.0,0.0,0.0,5.8,0.0,2026-01-01 08:00:00
9,-6.6,100,7.0,0.0,0.0,7.0,3.8,1.2,2026-01-01 09:00:00
10,-4.7,100,17.0,0.0,0.0,17.0,3.2,1.2,2026-01-01 10:00:00
11,-2.2,100,111.0,1.0,3.4,110.0,6.0,1.2,2026-01-01 11:00:00
12,-1.0,100,145.0,0.0,0.0,145.0,6.0,1.9,2026-01-01 12:00:00
13,-0.1,96,256.0,3.0,6.9,253.0,7.6,0.2,2026-01-01 13:00:00
14,0.3,94,291.0,53.0,122.6,238.0,7.6,0.0,2026-01-01 14:00:00
15,1.0,98,268.0,118.0,306.6,150.0,7.1,0.0,2026-01-01 15:00:00
16,-0.3,8,202.0,103.0,350.7,99.0,3.6,0.0,2026-01-01 16:00:00
17,-1.5,6,109.0,59.0,357.1,50.0,2.6,0.0,2026-01-01 17:00:00
18,-2.7,30,13.0,5.0,80.2,8.0,0.9,0.0,2026-01-01 18:00:00
19,-4.4,56,0.0,0.0,0.0,0.0,3.1,0.0,2026-01-01 19:00:00
20,-5.4,45,0.0,0.0,0.0,0.0,3.1,0.0,2026-01-01 20:00:00
21,-3.0,81,0.0,0.0,0.0,0.0,1.8,0.0,2026-01-01 21:00:00
22,-5.1,64,0.0,0.0,0.0,0.0,1.3,0.0,2026-01-01 22:00:00
23,-7.3,96,0.0,0.0,0.0,0.0,1.5,0.0,2026-01-01 23:00:00
24,-7.8,97,0.0,0.0,0.0,0.0,3.5,0.0,2026-01-02 00:00:00
